"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"419","sesamum","Ahmedpur",2016,26.5628577971147,1160
"420","ricepaddyhus","Pune-Pimpri",2016,30.5057955742887,1158
"421","pigeon pea tur","Lohara",2016,13.9954034111528,1157
"422","pigeon pea tur","Buldhana",2015,19.4029850746269,1156
"423","spilt gerrn gram","Kolhapur-Laxmipuri",2016,16.4385514684916,1153
"424","sorgumjawar","Indapur-Bhigwan",2014,56.3235294117647,1149
"425","bajri","Pathari",2014,75.311884438608,1147
"426","pigeon pea tur","Jamkhed",2016,18.4821140831453,1147
"427","sesamum","Chopda",2016,29.6946771142934,1146
"428","pigeon pea tur","Murum",2016,15.2409312398484,1144
"429","pigeon pea tur","Naigaon",2016,14.4138453764528,1141
"430","sorgumjawar","Ambad(Vadi Godri)",2014,89.8290598290598,1139
"431","pigeon pea tur","Deglur",2016,16.5072463768116,1139
"432","spilt gerrn gram","Mumbai",2016,13.9154998771801,1133
"433","pigeon pea tur","Jalgaon Jamod-Aasalgaon",2016,21.7115384615385,1129
"434","sorgumjawar","Latur",2014,91.5584415584416,1128
"435","sorgumjawar","Osmanabad",2016,78.4648187633262,1128
"436","sorgumjawar","Kada (Ashti)",2016,70.3125,1125
"437","ricepaddyhus","Nira-Saswad",2016,51.9069767441861,1125
"438","cotton","Pathardi",2016,29.0322580645161,1125
"439","grnut kernels","Ulhasnagar",2015,14.2857142857143,1125
"440","sesamum","Bhokar",2015,15.9255576076147,1121
